policy,window,status,year,train_n,train_available,test_n,mse,qlike,oos_r2_vs_train_mean,high_risk_auc,alert_count,alert_coverage,alert_precision,alert_recall,tp,fp,fn,tn,q80,beta,n,pooled_mse,pooled_qlike,mean_annual_auc,total_alerts,mean_alert_precision,mean_alert_recall
EXTENDED_ROLLING_250,250,OK,2024,250,1424,205,6.317940356211392e-10,0.1705729178350248,0.1763594988827153,0.6768610715979136,29,0.14146341463414633,0.6551724137931034,0.3333333333333333,19,10,38,138,4.1319565115552635e-05,"[0.0011612716014612712, 0.12603641826317385, 0.3058076449112376, 0.3379852016443622]",,,,,,,
EXTENDED_ROLLING_250,250,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,7.298883522103147e-10,0.15790823564489448,0.6951859620677893,62,0.5541050903119868,0.2693114013868731
EXTENDED_ROLLING_275,275,OK,2022,275,1016,205,1.2457199089462219e-09,0.16910564894149635,0.20539281397254827,0.7259288330716902,24,0.11707317073170732,0.5833333333333334,0.2857142857142857,14,10,35,146,5.084376907183087e-05,"[0.0010083808498683924, 0.2250536649411617, 0.23263936011801645, 0.3624686567035113]",,,,,,,
EXTENDED_ROLLING_275,275,OK,2023,275,1221,203,3.07594536986997e-10,0.1326855575039276,0.38151471563549066,0.7511068943706515,7,0.034482758620689655,0.42857142857142855,0.17647058823529413,3,4,14,182,5.130499484231912e-05,"[0.0019387069291548615, 0.23482736557313022, 0.5047325506860368, -0.06469160313562872]",,,,,,,
EXTENDED_ROLLING_275,275,OK,2024,275,1424,205,6.162808632710355e-10,0.16614112697730068,0.17691137322770734,0.6829090909090908,31,0.15121951219512195,0.6129032258064516,0.34545454545454546,19,12,36,138,4.298781101985201e-05,"[0.0010656178139691799, 0.08355470901146039, 0.4414010445365867, 0.2751083180782389]",,,,,,,
EXTENDED_ROLLING_275,275,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,7.245544034468159e-10,0.1560534375801806,0.7199816061171442,62,0.5416026625704045,0.2692131398013751
EXTENDED_ROLLING_300,300,OK,2022,300,1016,205,1.258555053051586e-09,0.16666101050811827,0.18737538755070138,0.7182116488925349,15,0.07317073170731707,0.6,0.1956521739130435,9,6,37,153,5.483909925973549e-05,"[0.001203876468486588, 0.14555047035244117, 0.3179069265363858, 0.3323323957401915]",,,,,,,
EXTENDED_ROLLING_300,300,OK,2023,300,1221,203,3.0668441373108466e-10,0.13222608770466548,0.3545966666572483,0.7378378378378379,9,0.04433497536945813,0.4444444444444444,0.2222222222222222,4,5,14,180,5.004427075354938e-05,"[0.0018833000917796224, 0.22203284153933756, 0.5188246196106039, -0.058899693680902226]",,,,,,,
EXTENDED_ROLLING_300,300,OK,2024,300,1424,205,6.136549408407433e-10,0.16530523526272686,0.1765864655764683,0.6873939393939394,32,0.15609756097560976,0.625,0.36363636363636365,20,12,35,138,4.2394100271512286e-05,"[0.0011310849038122588, 0.09461000506633194, 0.45018941384526157, 0.2426145843439634]",,,,,,,
EXTENDED_ROLLING_300,300,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,7.276671855388869e-10,0.15480420258902178,0.7144811420414374,56,0.5564814814814815,0.2605035865905431
EXTENDED_ROLLING_325,325,OK,2022,325,1016,205,1.2550938782265367e-09,0.1656674428403007,0.19053730742252717,0.7274441152706705,15,0.07317073170731707,0.6,0.19148936170212766,9,6,38,152,5.265599096433581e-05,"[0.0014388702330835191, 0.14405719279613283, 0.3314413476263493, 0.2769044802501818]",,,,,,,
EXTENDED_ROLLING_325,325,OK,2023,325,1221,203,3.061836438805759e-10,0.13194058824495195,0.3327936732795601,0.7242562929061784,9,0.04433497536945813,0.4444444444444444,0.21052631578947367,4,5,15,179,4.885391421137253e-05,"[0.0018264347088443338, 0.25780033316455386, 0.4578330921313497, -0.027060038460102298]",,,,,,,
EXTENDED_ROLLING_325,325,OK,2024,325,1424,205,6.152436244440161e-10,0.16494602524293359,0.17141794446152325,0.685939393939394,29,0.14146341463414633,0.6551724137931034,0.34545454545454546,19,10,36,140,4.298781101985201e-05,"[0.0012242770136246864, 0.11181538571271082, 0.40044922544189665, 0.2591433236348579]",,,,,,,
EXTENDED_ROLLING_325,325,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,7.268751513135729e-10,0.15425725998497272,0.7125466007054143,53,0.5665389527458492,0.2491567409820489
EXTENDED_ROLLING_350,350,OK,2022,350,1016,205,1.264460951631919e-09,0.16549004162608452,0.1784771373158749,0.7177275431290898,12,0.05853658536585366,0.75,0.21951219512195122,9,3,32,161,5.763920212331663e-05,"[0.001594304484746595, 0.12622862678271618, 0.33452692038233, 0.267510325290946]",,,,,,,
EXTENDED_ROLLING_350,350,OK,2023,350,1221,203,3.068476748835217e-10,0.13249866025932747,0.3352740042721779,0.7205377574370709,9,0.04433497536945813,0.4444444444444444,0.21052631578947367,4,5,15,179,4.87987308879011e-05,"[0.0019464586151504643, 0.2868377378821984, 0.39463151922181927, -0.012813464557466486]",,,,,,,
EXTENDED_ROLLING_350,350,OK,2024,350,1424,205,6.115367557285723e-10,0.1638578863132504,0.16708019203892444,0.7033685268979387,28,0.13658536585365855,0.6428571428571429,0.34615384615384615,18,10,34,143,4.441269059767071e-05,"[0.0012419902494863928, 0.11152858214956851, 0.42555741704592254, 0.2333252966478599]",,,,,,,
EXTENDED_ROLLING_350,350,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,7.289879412891609e-10,0.15401884708027264,0.7138779424880332,49,0.6124338624338624,0.25873078568842367
EXTENDED_ROLLING_375,375,OK,2022,375,1016,205,1.1670217643352738e-09,0.1567790585045235,0.25133321202272485,0.7157983193277311,11,0.05365853658536585,0.8181818181818182,0.2571428571428571,9,2,26,168,6.344075968070182e-05,"[0.0013379883288916637, 0.24273539470129257, 0.3628178539578268, 0.1869327853339257]",,,,,,,
EXTENDED_ROLLING_375,375,OK,2023,375,1221,203,3.057555042863377e-10,0.1322086029056702,0.32552202964509913,0.7128019323671497,9,0.04433497536945813,0.5555555555555556,0.21739130434782608,5,4,18,176,4.761332919836804e-05,"[0.001966534000328651, 0.27077101075337123, 0.4040961155673153, -0.011647613803008272]",,,,,,,
EXTENDED_ROLLING_375,375,OK,2024,375,1424,205,5.949299549333109e-10,0.15920061670097363,0.1725138820522477,0.71716378859236,29,0.14146341463414633,0.5862068965517241,0.3469387755102041,17,12,32,144,4.630221931156511e-05,"[0.001277413909562007, 0.22790819711799165, 0.49142220581706714, 0.052538020903781985]",,,,,,,
EXTENDED_ROLLING_375,375,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.904869001960627e-10,0.14945216934254152,0.715254680095747,49,0.6533147567630326,0.2738243123336291
EXTENDED_ROLLING_400,400,OK,2022,400,1016,205,1.1701576600102117e-09,0.15826188261833488,0.24485653667296958,0.7189349112426036,12,0.05853658536585366,0.75,0.25,9,3,27,166,6.181547561931939e-05,"[0.0012514918518127457, 0.24197600040344103, 0.3689777748437143, 0.18913021148067471]",,,,,,,
EXTENDED_ROLLING_400,400,OK,2023,400,1221,203,3.0499413213190913e-10,0.13215908951340388,0.31542035765653686,0.7123188405797101,9,0.04433497536945813,0.5555555555555556,0.21739130434782608,5,4,18,176,4.721502805526748e-05,"[0.0020317221914566926, 0.2514611465693695, 0.4183416909364082, -0.019272671057190632]",,,,,,,
EXTENDED_ROLLING_400,400,OK,2024,400,1424,205,5.928928288257192e-10,0.1578383852976973,0.17511821251445603,0.717948717948718,30,0.14634146341463414,0.6,0.3673469387755102,18,12,31,144,4.611980099712319e-05,"[0.0014070020730289669, 0.2242252873804848, 0.48481912133250205, 0.04473240533851772]",,,,,,,
EXTENDED_ROLLING_400,400,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.90602217021441e-10,0.14947610129528155,0.7164008232570106,51,0.6351851851851852,0.2782460810411121
EXTENDED_ROLLING_425,425,OK,2022,425,1016,205,1.1720875810522651e-09,0.15784679387387196,0.24341357293964494,0.7186061801446417,12,0.05853658536585366,0.75,0.25,9,3,27,166,6.163674897281633e-05,"[0.0013272755880498293, 0.23328351215744692, 0.3745568296167163, 0.17993448054016725]",,,,,,,
EXTENDED_ROLLING_425,425,OK,2023,425,1221,203,3.0536288017934814e-10,0.13176149772065543,0.343869656045502,0.7372372372372372,8,0.03940886699507389,0.375,0.16666666666666666,3,5,15,180,4.950208506757046e-05,"[0.0018629144998061863, 0.25959695863421484, 0.4266435112192749, -0.0036182682051270343]",,,,,,,
EXTENDED_ROLLING_425,425,OK,2024,425,1424,205,5.947225527892926e-10,0.15904355514435164,0.17500698958136107,0.7280000000000001,33,0.16097560975609757,0.6363636363636364,0.42,21,12,29,143,4.5363194260735006e-05,"[0.0013218207383381378, 0.2292043305854044, 0.49061975660875257, 0.04433724702984276]",,,,,,,
EXTENDED_ROLLING_425,425,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.919816347698647e-10,0.14960865511587093,0.7279478057939598,53,0.587121212121212,0.2788888888888889
EXTENDED_ROLLING_450,450,OK,2022,450,1016,205,1.1766912370894574e-09,0.1578766040017148,0.24924131423393803,0.6983381502890174,11,0.05365853658536585,0.7272727272727273,0.25,8,3,24,170,6.455590582220532e-05,"[0.0013620684387166742, 0.22468649305218674, 0.3735731941954866, 0.18366499180899745]",,,,,,,
EXTENDED_ROLLING_450,450,OK,2023,450,1221,203,3.045111286172114e-10,0.13116732351113114,0.3674261914705761,0.75426944971537,6,0.029556650246305417,0.5,0.17647058823529413,3,3,14,183,5.121021895770419e-05,"[0.0017543221827444756, 0.25100379894024394, 0.4217239290789264, 0.031978592601492495]",,,,,,,
EXTENDED_ROLLING_450,450,OK,2024,450,1424,205,5.95077207848556e-10,0.15875163196051525,0.17427430227120322,0.7272258064516129,31,0.15121951219512195,0.6451612903225806,0.4,20,11,30,144,4.538338538899004e-05,"[0.0013675079978307805, 0.2314626271845372, 0.46892091653237744, 0.056116838765203875]",,,,,,,
EXTENDED_ROLLING_450,450,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.933577329879064e-10,0.1493242333523928,0.7266111354853334,48,0.6241446725317693,0.2754901960784314
EXTENDED_ROLLING_475,475,OK,2022,475,1016,205,1.1186239519892122e-09,0.1573950563983224,0.3897777578051679,0.7318918918918919,11,0.05365853658536585,0.6363636363636364,0.35,7,4,13,181,7.11160848977612e-05,"[0.0010676600311587661, 0.3206939427807058, 0.49624466525197797, 0.024714161849949956]",,,,,,,
EXTENDED_ROLLING_475,475,OK,2023,475,1221,203,3.042125492782571e-10,0.13119574947957105,0.39800231253274765,0.7161753590325018,5,0.024630541871921183,0.4,0.14285714285714285,2,3,12,186,5.429596730154259e-05,"[0.0017839688302676842, 0.24600086272638827, 0.4053013713510113, 0.05178437387091156]",,,,,,,
EXTENDED_ROLLING_475,475,OK,2024,475,1424,205,5.951476425592173e-10,0.1589920170261782,0.17517069724372114,0.7309651133180545,33,0.16097560975609757,0.6060606060606061,0.39215686274509803,20,13,31,141,4.499840030707067e-05,"[0.001371316057011664, 0.21463231562533586, 0.4813718334876268, 0.058669607136778074]",,,,,,,
EXTENDED_ROLLING_475,475,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.738634981825681e-10,0.1492529970577089,0.7263441214141494,49,0.5474747474747476,0.2950046685340803
EXTENDED_ROLLING_500,500,OK,2022,500,1016,205,1.1137741758163099e-09,0.15660925067151477,0.3852768365475554,0.7351351351351352,11,0.05365853658536585,0.6363636363636364,0.35,7,4,13,181,7.11160848977612e-05,"[0.001146849208418245, 0.3401648621569423, 0.4999562880217141, -0.005536275797472845]",,,,,,,
EXTENDED_ROLLING_500,500,OK,2023,500,1221,203,3.022354743339868e-10,0.13084692743149476,0.4173025453901561,0.713765182186235,3,0.014778325123152709,0.3333333333333333,0.07692307692307693,1,2,12,188,5.519179816182988e-05,"[0.0018365755449314186, 0.19939371841530606, 0.41331016407472165, 0.0809507573387783]",,,,,,,
EXTENDED_ROLLING_500,500,OK,2024,500,1424,205,5.947806377927205e-10,0.1588971290305764,0.17681477776621346,0.7305831423478483,32,0.15609756097560976,0.625,0.39215686274509803,20,12,31,142,4.499840030707067e-05,"[0.0013953061333724013, 0.20416329065240302, 0.4902386721051343, 0.05636627822235374]",,,,,,,
EXTENDED_ROLLING_500,500,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.71464173050001e-10,0.14884295939236886,0.7264944865564061,46,0.5315656565656566,0.2730266465560583
EXTENDED_ROLLING_525,525,OK,2022,525,1016,205,1.1138283659692728e-09,0.1576159000597821,0.366426998134038,0.7458100558659218,12,0.05853658536585366,0.6666666666666666,0.3076923076923077,8,4,18,175,7.001063370971871e-05,"[0.0010895778974508766, 0.36205909098409256, 0.46525446231666795, 0.013535472680263672]",,,,,,,
EXTENDED_ROLLING_525,525,OK,2023,525,1221,203,3.0357007819054676e-10,0.13157858048010057,0.43101195139399984,0.7129554655870446,3,0.014778325123152709,0.3333333333333333,0.07692307692307693,1,2,12,188,5.528299397207003e-05,"[0.0018865829497087822, 0.1907436981708741, 0.44286450860896037, 0.056716036662123215]",,,,,,,
EXTENDED_ROLLING_525,525,OK,2024,525,1424,205,5.96822204879105e-10,0.15918530224700073,0.175744876100981,0.7239819004524887,35,0.17073170731707318,0.5714285714285714,0.38461538461538464,20,15,32,138,4.467202192971676e-05,"[0.001387032535562312, 0.22972395683943303, 0.4471578220561865, 0.0737049696867183]",,,,,,,
EXTENDED_ROLLING_525,525,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.726070030939615e-10,0.1495182680429868,0.727582473968485,50,0.5238095238095238,0.25641025641025644
EXTENDED_ROLLING_550,550,OK,2022,550,1016,205,1.116224608676522e-09,0.15915644709402585,0.3457173892944596,0.7288135593220338,12,0.05853658536585366,0.6666666666666666,0.2857142857142857,8,4,20,173,6.832005529997105e-05,"[0.0009904511967017346, 0.36222469824225934, 0.4646218275251257, 0.024776696410958254]",,,,,,,
EXTENDED_ROLLING_550,550,OK,2023,550,1221,203,3.03299388567573e-10,0.13158876251798698,0.45706504247916857,0.7153846153846155,3,0.014778325123152709,0.3333333333333333,0.07692307692307693,1,2,12,188,5.655428653581432e-05,"[0.001890992075827433, 0.18458914839506474, 0.43528098142567084, 0.07049699135864321]",,,,,,,
EXTENDED_ROLLING_550,550,OK,2024,550,1424,205,5.98387910475946e-10,0.15892032348784005,0.17219079010251404,0.7208396178984414,35,0.17073170731707318,0.5714285714285714,0.38461538461538464,20,15,32,138,4.467202192971676e-05,"[0.0014537248392159764, 0.2543729604552177, 0.3982263417820493, 0.08721108490242646]",,,,,,,
EXTENDED_ROLLING_550,550,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.738423202373135e-10,0.1499482165749329,0.7216792642016969,50,0.5238095238095238,0.2490842490842491
EXTENDED_ROLLING_575,575,OK,2022,575,1016,205,1.1180572226809972e-09,0.1601532409061461,0.330702907648313,0.7280064568200161,12,0.05853658536585366,0.6666666666666666,0.2857142857142857,8,4,20,173,6.643070376276386e-05,"[0.0009435029723158107, 0.3572017660195643, 0.4695068443516185, 0.028543211153427284]",,,,,,,
EXTENDED_ROLLING_575,575,OK,2023,575,1221,203,3.0492658477600077e-10,0.1306530388950861,0.5521548453465241,0.6912943871706758,2,0.009852216748768473,0.5,0.1111111111111111,1,1,8,193,6.119695638060755e-05,"[0.001488821424318377, 0.24892514272784994, 0.41065091747474614, 0.10435563449673166]",,,,,,,
EXTENDED_ROLLING_575,575,OK,2024,575,1424,205,5.988364090484618e-10,0.1591165181713192,0.17251605393177383,0.7212166918049271,35,0.17073170731707318,0.5714285714285714,0.38461538461538464,20,15,32,138,4.450019772766679e-05,"[0.001472217741086418, 0.2468766874530397, 0.3989627019035141, 0.08948964826587674]",,,,,,,
EXTENDED_ROLLING_575,575,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.751440313443185e-10,0.15003730425217432,0.7135058452652063,49,0.5793650793650793,0.26048026048026046
EXTENDED_ROLLING_600,600,OK,2022,600,1016,205,1.1188907254229685e-09,0.16010003545202972,0.3246852475882994,0.724879495736003,13,0.06341463414634146,0.6923076923076923,0.2903225806451613,9,4,22,170,6.531297186993281e-05,"[0.0009454852262300449, 0.3493323316146148, 0.47459391849925, 0.03026191714703297]",,,,,,,
EXTENDED_ROLLING_600,600,OK,2023,600,1221,203,3.057754919785254e-10,0.13113225524513267,0.5424090948139648,0.6924398625429553,2,0.009852216748768473,0.5,0.1111111111111111,1,1,8,193,6.0599217706993106e-05,"[0.0015621608561417223, 0.24859540250094925, 0.4201681943933796, 0.08414609804493428]",,,,,,,
EXTENDED_ROLLING_600,600,OK,2024,600,1424,205,5.979486629321875e-10,0.15883712459749755,0.1738922779123252,0.721342383107089,34,0.16585365853658537,0.5882352941176471,0.38461538461538464,20,14,32,139,4.441269059767071e-05,"[0.0015143299853892533, 0.2275746356608973, 0.4138278558090366, 0.08719122922337827]",,,,,,,
EXTENDED_ROLLING_600,600,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.754070138408606e-10,0.1500847726344454,0.7128872471286823,49,0.5935143288084465,0.26201635879055235
EXTENDED_ROLLING_625,625,OK,2022,625,1016,205,1.118506325995189e-09,0.15957631303645184,0.32459483243355436,0.7466666666666667,12,0.05853658536585366,0.6666666666666666,0.26666666666666666,8,4,22,171,6.588521963311273e-05,"[0.0009720945978987704, 0.350023226603908, 0.46611206512261716, 0.034975975867917175]",,,,,,,
EXTENDED_ROLLING_625,625,OK,2023,625,1221,203,3.0560431754020647e-10,0.1312614705128593,0.5404394721060782,0.6935853379152348,2,0.009852216748768473,0.5,0.1111111111111111,1,1,8,193,6.047840873972671e-05,"[0.001611375773748423, 0.24171043624905725, 0.42281698046522576, 0.079959128249453]",,,,,,,
EXTENDED_ROLLING_625,625,OK,2024,625,1424,205,5.977294143057168e-10,0.15894631580768984,0.1724183919645823,0.7252903225806452,28,0.13658536585365855,0.6071428571428571,0.34,17,11,33,144,4.52591704371505e-05,"[0.0015707289540081387, 0.21872901258707184, 0.4297640566231332, 0.06890093028722682]",,,,,,,
EXTENDED_ROLLING_625,625,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.751484555013826e-10,0.14998893544397957,0.7218474423875155,42,0.5912698412698413,0.23925925925925928
EXTENDED_ROLLING_650,650,OK,2022,650,1016,205,1.119925516894367e-09,0.1591431566297723,0.31962959184668394,0.724879495736003,12,0.05853658536585366,0.6666666666666666,0.25806451612903225,8,4,23,170,6.57487277611262e-05,"[0.0009886766165029565, 0.33569903991176486, 0.47408625689645667, 0.03859586527834252]",,,,,,,
EXTENDED_ROLLING_650,650,OK,2023,650,1221,203,3.034857502318828e-10,0.13003398779152148,0.5716410008944961,0.6941580756013745,2,0.009852216748768473,0.5,0.1111111111111111,1,1,8,193,6.273514485397205e-05,"[0.0013992373063480292, 0.2394622823681991, 0.3945992613158766, 0.14465678386949818]",,,,,,,
EXTENDED_ROLLING_650,650,OK,2024,650,1424,205,5.967416258894712e-10,0.15850704627602982,0.17045875686403245,0.7089220303506016,26,0.12682926829268293,0.6538461538461539,0.3469387755102041,17,9,32,147,4.681555720020286e-05,"[0.0013494298304353748, 0.2304766517267149, 0.41754945818322997, 0.11342261889345101]",,,,,,,
EXTENDED_ROLLING_650,650,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.74591144482478e-10,0.1492906869777623,0.7093198672293264,40,0.6068376068376068,0.23870480091678248
EXTENDED_ROLLING_675,675,OK,2022,675,1016,205,1.1198441463272195e-09,0.1586466589668184,0.31311163105490347,0.724694104560623,12,0.05853658536585366,0.6666666666666666,0.25806451612903225,8,4,23,170,6.48829131813027e-05,"[0.001019485504773215, 0.32910385585341523, 0.48094987402709927, 0.03431628459567987]",,,,,,,
EXTENDED_ROLLING_675,675,OK,2023,675,1221,203,3.1582972571703624e-10,0.13289767432944904,0.7056906823209401,0.6865384615384615,3,0.014778325123152709,0.3333333333333333,0.125,1,2,7,193,6.605030701277591e-05,"[0.0011407127558013836, 0.3319139141567046, 0.47536795241560953, 0.020173558728908192]",,,,,,,
EXTENDED_ROLLING_675,675,OK,2024,675,1424,205,5.966682595741881e-10,0.15814581326979496,0.16954105642459483,0.7330999192028009,24,0.11707317073170732,0.6666666666666666,0.3404255319148936,16,8,31,150,4.761332919836804e-05,"[0.0013296512150813389, 0.22937503541306437, 0.4024258169592985, 0.13598052667200805]",,,,,,,
EXTENDED_ROLLING_675,675,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.786272064116589e-10,0.14995217732036525,0.7147774951006284,39,0.5555555555555555,0.24116334934797531
EXTENDED_ROLLING_700,700,OK,2022,700,1016,205,1.122108710495381e-09,0.15996794925356841,0.3006697163919996,0.6974982381959125,12,0.05853658536585366,0.6666666666666666,0.24242424242424243,8,4,25,168,6.418156403183547e-05,"[0.0009325536940417788, 0.3297343715797094, 0.4813873986828624, 0.043812089710060176]",,,,,,,
EXTENDED_ROLLING_700,700,OK,2023,700,1221,203,3.1810125549838296e-10,0.13345455966417963,0.7112061487566377,0.6878205128205128,3,0.014778325123152709,0.3333333333333333,0.125,1,2,7,193,6.674536036714625e-05,"[0.0012078155120553297, 0.32669784139824953, 0.5000298759002304, -0.0056039782399662785]",,,,,,,
EXTENDED_ROLLING_700,700,OK,2024,700,1424,205,5.965560120753065e-10,0.15825216072502674,0.1698783915464016,0.7299699207000274,22,0.1073170731707317,0.6363636363636364,0.30434782608695654,14,8,32,151,4.811446984630307e-05,"[0.001329914463328028, 0.20217667265785122, 0.4195700502775473, 0.14634435757685588]",,,,,,,
EXTENDED_ROLLING_700,700,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.800992218485524e-10,0.15061402635797794,0.7050962239054842,37,0.5454545454545454,0.22392402283706633
EXTENDED_ROLLING_725,725,OK,2022,725,1016,205,1.123735988836486e-09,0.16081736583975945,0.2913542026885526,0.7171428571428572,14,0.06829268292682927,0.7142857142857143,0.2857142857142857,10,4,25,166,6.344075968070182e-05,"[0.0008806160783161614, 0.32902052330219933, 0.4821342260881142, 0.04995448481707426]",,,,,,,
EXTENDED_ROLLING_725,725,OK,2023,725,1221,203,3.1823665476857887e-10,0.1334851713506735,0.6971490516876442,0.6833333333333333,3,0.014778325123152709,0.3333333333333333,0.125,1,2,7,193,6.605030701277591e-05,"[0.0011923267975020417, 0.34378733707214315, 0.4701137368298733, 0.00873412694623188]",,,,,,,
EXTENDED_ROLLING_725,725,OK,2024,725,1424,205,5.953229810147692e-10,0.15778134350515619,0.17240130784008634,0.7227777777777777,20,0.0975609756097561,0.65,0.28888888888888886,13,7,32,153,4.885391421137253e-05,"[0.001395645696587494, 0.18794986698386373, 0.4343094290336653, 0.1364752676494235]",,,,,,,
EXTENDED_ROLLING_725,725,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.802759049551856e-10,0.15075077520374294,0.7077513227513229,37,0.565873015873016,0.2332010582010582
EXTENDED_ROLLING_750,750,OK,2022,750,1016,205,1.1251604956133756e-09,0.16168891549307776,0.2834218443418588,0.7173109243697479,15,0.07317073170731707,0.6666666666666666,0.2857142857142857,10,5,25,165,6.26382729947267e-05,"[0.0008283446106300504, 0.3305439698025232, 0.4798728904189208, 0.05714338993404436]",,,,,,,
EXTENDED_ROLLING_750,750,OK,2023,750,1221,203,3.1683111309655534e-10,0.1332271588433178,0.6773164037669955,0.6833333333333333,3,0.014778325123152709,0.3333333333333333,0.125,1,2,7,193,6.508364150122677e-05,"[0.0010836966683436607, 0.3446275982239967, 0.4717551945848253, 0.019038767515824506]",,,,,,,
EXTENDED_ROLLING_750,750,OK,2024,750,1424,205,5.952826334568052e-10,0.1575430584261755,0.17440182483904587,0.7183794466403162,19,0.09268292682926829,0.631578947368421,0.2727272727272727,12,7,32,154,4.978226527536166e-05,"[0.0014780019632997382, 0.18402304586331575, 0.42855039171286446, 0.13243648035080977]",,,,,,,
EXTENDED_ROLLING_750,750,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.802733399967174e-10,0.15087710913318178,0.7063412347811324,37,0.543859649122807,0.2278138528138528
