origin_index,origin_date,origin_ts_ny,origin_clock_status,target_1d_date,target_1d_maturity,target_3d_date,target_3d_maturity,close,monthly_direction_3m,fast_state,slow_state,emergency_level,emergency_reversal,ny17_state_pit_status,gvz_source_date,gvz_value,gvz_cap,gvz_panic,gvz_pit_status,macro_event_v2_pit_status,bocpd_pit_status,market_shock_v3_status,scoring_eligibility,evidence_class,prospective_claim
15,2025-03-17,2025-03-17T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-18,MATURED,2025-03-25,MATURED,3001.21997,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-17,17.6,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
16,2025-03-18,2025-03-18T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-21,MATURED,2025-03-27,MATURED,3034.12988,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-18,17.53,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
17,2025-03-21,2025-03-21T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-25,MATURED,2025-04-01,MATURED,3023.8501,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-21,15.98,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
18,2025-03-25,2025-03-25T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-27,MATURED,2025-04-03,MATURED,3020.030029,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-25,15.23,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
19,2025-03-27,2025-03-27T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-01,MATURED,2025-04-04,MATURED,3056.80005,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-27,16.08,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
20,2025-04-01,2025-04-01T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-03,MATURED,2025-04-09,MATURED,3114.37012,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-01,17.95,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
21,2025-04-03,2025-04-03T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-04,MATURED,2025-04-11,MATURED,3114.13989,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-03,18.36,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
22,2025-04-04,2025-04-04T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-09,MATURED,2025-04-17,MATURED,3038.17993,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-04,22.03,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
23,2025-04-09,2025-04-09T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-11,MATURED,2025-04-21,MATURED,3083.16992,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-09,24.53,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
24,2025-04-11,2025-04-11T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-17,MATURED,2025-04-24,MATURED,3238.18994,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-11,28.44,0.5,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
25,2025-04-17,2025-04-17T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-21,MATURED,2025-04-25,MATURED,3326.19,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-17,24.14,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
26,2025-04-21,2025-04-21T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-24,MATURED,2025-04-28,MATURED,3422.8,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-21,28.14,0.5,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
27,2025-04-24,2025-04-24T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-25,MATURED,2025-04-30,MATURED,3354.9,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-24,24.93,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
28,2025-04-25,2025-04-25T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-28,MATURED,2025-05-01,MATURED,3316.3,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-25,23.36,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
29,2025-04-28,2025-04-28T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-04-30,MATURED,2025-05-02,MATURED,3344.1,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-28,23.25,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
30,2025-04-30,2025-04-30T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-05-01,MATURED,2025-05-05,MATURED,3292.0,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-04-30,21.52,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
31,2025-05-01,2025-05-01T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-05-02,MATURED,2025-05-06,MATURED,3238.64,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-05-01,21.51,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
32,2025-05-02,2025-05-02T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-05-05,MATURED,2025-05-07,MATURED,3254.9,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-05-02,21.35,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
33,2025-05-05,2025-05-05T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-05-06,MATURED,2025-05-08,MATURED,3335.0,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-05-05,23.2,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
34,2025-05-06,2025-05-06T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-05-07,MATURED,2025-05-09,MATURED,3434.7,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-05-06,24.72,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
35,2025-05-07,2025-05-07T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-05-08,MATURED,2025-05-12,MATURED,3366.6,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-05-07,22.99,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
36,2025-05-08,2025-05-08T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-05-09,MATURED,2025-05-13,MATURED,3309.4,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-05-08,22.58,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
