date,close,midas_monthly_reference,midas_displacement_pct,midas_level,midas_shock_direction,midas_running_peak,midas_running_trough,midas_alert,causal_monthly_reference,causal_level,causal_alert,alert_diff_vs_causal
2025-04-11,3238.189940,3100.625458,4.436606,UP,UP,3238.189940,,OFF,3022.603680,UP,OFF,False
2025-04-17,3326.190000,3100.625458,7.274066,UP,UP,3326.190000,,OFF,3022.603680,UP,OFF,False
2025-04-21,3422.800000,3100.625458,10.390479,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-22,3394.400000,3100.625458,9.474682,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-23,3303.300000,3100.625458,6.536569,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-24,3354.900000,3100.625458,8.201012,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-25,3316.300000,3100.625458,6.956093,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-27,3321.000000,3100.625458,7.107676,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-28,3344.100000,3100.625458,7.852604,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-29,3317.600000,3100.625458,6.997982,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-04-30,3292.000000,3100.625458,6.172363,UP,UP,3422.800000,,OFF,3022.603680,UP,OFF,False
2025-05-01,3238.640000,3264.770416,-0.800378,NEUTRAL,NEUTRAL,,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-02,3254.900000,3264.770416,-0.302335,NEUTRAL,NEUTRAL,,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-05,3335.000000,3264.770416,2.151125,NEUTRAL,NEUTRAL,,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-06,3434.700000,3264.770416,5.204947,UP,UP,3434.700000,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-07,3366.600000,3264.770416,3.119046,NEUTRAL,UP,3434.700000,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-08,3309.400000,3264.770416,1.366991,NEUTRAL,UP,3434.700000,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-09,3323.640000,3264.770416,1.803232,NEUTRAL,UP,3434.700000,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-12,3235.240000,3264.770416,-0.904509,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-13,3248.500000,3264.770416,-0.498374,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-14,3181.200000,3264.770416,-2.559737,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-15,3244.500000,3264.770416,-0.620891,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-16,3209.700000,3264.770416,-1.686819,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-19,3229.150000,3264.770416,-1.091105,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-20,3285.100000,3264.770416,0.622706,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-22,3294.790000,3264.770416,0.919517,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-23,3355.900000,3264.770416,2.791282,NEUTRAL,UP,3434.700000,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-27,3299.700000,3264.770416,1.069899,NEUTRAL,UP,3434.700000,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-28,3291.400000,3264.770416,0.815671,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-05-29,3317.950000,3264.770416,1.628911,NEUTRAL,UP,3434.700000,,OFF,3305.600460,NEUTRAL,OFF,False
2025-05-30,3288.520000,3264.770416,0.727451,NEUTRAL,UP,3434.700000,,DOWN_ALERT,3305.600460,NEUTRAL,OFF,True
2025-06-02,3381.020000,3334.443657,1.396765,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-03,3354.300000,3334.443657,0.595497,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-04,3372.340000,3334.443657,1.136506,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-05,3353.000000,3334.443657,0.556503,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-06,3310.100000,3334.443657,-0.730061,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-09,3327.600000,3334.443657,-0.205239,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-10,3323.470000,3334.443657,-0.329104,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-11,3352.300000,3334.443657,0.535528,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-12,3381.900000,3334.443657,1.423728,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-13,3432.190000,3334.443657,2.931913,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-16,3383.530000,3334.443657,1.472191,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-17,3387.300000,3334.443657,1.585256,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-18,3372.100000,3334.443657,1.129456,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-20,3368.760000,3334.443657,1.029272,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-22,3413.800000,3334.443657,2.380020,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-23,3369.100100,3334.443657,1.039329,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-24,3324.900000,3334.443657,-0.286271,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-25,3332.139890,3334.443657,-0.069090,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-26,3328.090000,3334.443657,-0.190547,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-27,3278.000000,3334.443657,-1.692696,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-06-30,3302.909910,3334.443657,-0.945704,NEUTRAL,NEUTRAL,,,OFF,3327.745425,NEUTRAL,OFF,False
2025-07-01,3336.400000,3400.974778,-1.898714,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-02,3352.000000,3400.974778,-1.439961,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-03,3323.900000,3400.974778,-2.266848,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-07,3336.820000,3400.974778,-1.886369,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-08,3301.030000,3400.974778,-2.938712,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-09,3312.100000,3400.974778,-2.613226,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-10,3323.670000,3400.974778,-2.272145,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-11,3349.900000,3400.974778,-1.501765,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-14,3342.400000,3400.974778,-1.722276,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-15,3324.600000,3400.974778,-2.245627,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-16,3344.700000,3400.974778,-1.654630,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-17,3337.600000,3400.974778,-1.863371,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-18,3347.900000,3400.974778,-1.560552,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-21,3397.330000,3400.974778,-0.107168,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-22,3427.090000,3400.974778,0.767877,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-23,3389.030000,3400.974778,-0.351220,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-24,3370.590000,3400.974778,-0.893397,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-25,3347.170000,3400.974778,-1.582016,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-28,3322.010000,3400.974778,-2.321835,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-29,3334.240000,3400.974778,-1.962192,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-30,3291.980000,3400.974778,-3.204205,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-07-31,3299.410000,3400.974778,-2.985743,NEUTRAL,NEUTRAL,,,OFF,3383.401029,NEUTRAL,OFF,False
2025-08-01,3361.890000,3327.460593,1.034683,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-04,3378.960000,3327.460593,1.547652,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-05,3379.580000,3327.460593,1.566285,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-06,3371.530000,3327.460593,1.324362,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-07,3389.290000,3327.460593,1.858311,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-08,3387.210000,3327.460593,1.795807,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-11,3344.130000,3327.460593,0.500976,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-12,3342.470000,3327.460593,0.451090,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-13,3350.800000,3327.460593,0.701425,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-14,3330.230000,3327.460593,0.083226,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-15,3329.360000,3327.460593,0.057077,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-18,3331.750000,3327.460593,0.128896,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-19,3314.820000,3327.460593,-0.380492,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-20,3339.880000,3327.460593,0.373262,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-21,3332.140000,3327.460593,0.140629,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-22,3363.420000,3327.460593,1.080699,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-25,3349.540000,3327.460593,0.663496,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-26,3379.950000,3327.460593,1.577444,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-27,3388.820000,3327.460593,1.843968,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-28,3419.780000,3327.460593,2.774197,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-08-29,3455.590000,3327.460593,3.850392,NEUTRAL,NEUTRAL,,,OFF,3386.793036,NEUTRAL,OFF,False
2025-09-01,3490.830000,3481.400845,0.270846,NEUTRAL,NEUTRAL,,,OFF,3382.296819,NEUTRAL,OFF,False
2025-09-02,3550.400000,3481.400845,1.981912,NEUTRAL,NEUTRAL,,,OFF,3382.296819,UP,OFF,False
2025-09-03,3573.330000,3481.400845,2.640590,NEUTRAL,NEUTRAL,,,OFF,3382.296819,UP,OFF,False
2025-09-04,3553.160000,3481.400845,2.061135,NEUTRAL,NEUTRAL,,,OFF,3382.296819,UP,OFF,False
2025-09-05,3590.010000,3481.400845,3.119143,NEUTRAL,NEUTRAL,,,OFF,3382.296819,UP,OFF,False
2025-09-08,3641.180000,3481.400845,4.589022,UP,UP,3641.180000,,OFF,3382.296819,UP,OFF,False
2025-09-09,3638.700000,3481.400845,4.517789,UP,UP,3641.180000,,OFF,3382.296819,UP,OFF,False
2025-09-10,3641.300000,3481.400845,4.592469,UP,UP,3641.300000,,OFF,3382.296819,UP,OFF,False
2025-09-11,3634.060000,3481.400845,4.384510,UP,UP,3641.300000,,OFF,3382.296819,UP,OFF,False
2025-09-12,3642.080000,3481.400845,4.614870,UP,UP,3642.080000,,OFF,3382.296819,UP,OFF,False
2025-09-15,3683.470000,3481.400845,5.803222,UP,UP,3683.470000,,OFF,3382.296819,UP,OFF,False
2025-09-16,3696.780000,3481.400845,6.186800,UP,UP,3696.780000,,OFF,3382.296819,UP,OFF,False
2025-09-17,3664.370000,3481.400845,5.255844,UP,UP,3696.780000,,OFF,3382.296819,UP,OFF,False
2025-09-18,3647.610000,3481.400845,4.774392,UP,UP,3696.780000,,OFF,3382.296819,UP,OFF,False
2025-09-19,3688.920000,3481.400845,5.961018,UP,UP,3696.780000,,OFF,3382.296819,UP,OFF,False
2025-09-22,3760.410000,3481.400845,8.014286,UP,UP,3760.410000,,OFF,3382.296819,UP,OFF,False
2025-09-23,3777.030000,3481.400845,8.491644,UP,UP,3777.030000,,OFF,3382.296819,UP,OFF,False
2025-09-24,3747.290000,3481.400845,7.637311,UP,UP,3777.030000,,OFF,3382.296819,UP,OFF,False
2025-09-25,3757.690000,3481.400845,7.936056,UP,UP,3777.030000,,OFF,3382.296819,UP,OFF,False
2025-09-26,3771.500000,3481.400845,8.332687,UP,UP,3777.030000,,OFF,3382.296819,UP,OFF,False
2025-09-29,3842.190000,3481.400845,10.363320,UP,UP,3842.190000,,OFF,3382.296819,UP,OFF,False
2025-09-30,3869.180000,3481.400845,11.138667,UP,UP,3869.180000,,OFF,3382.296819,UP,OFF,False
2025-10-01,3875.490000,3798.394654,2.029144,NEUTRAL,NEUTRAL,,,OFF,3700.591359,UP,OFF,False
2025-10-02,3861.500000,3798.394654,1.661368,NEUTRAL,NEUTRAL,,,OFF,3700.591359,UP,OFF,False
2025-10-03,3885.260000,3798.394654,2.286444,NEUTRAL,NEUTRAL,,,OFF,3700.591359,UP,OFF,False
2025-10-06,3971.760000,3798.394654,4.563105,UP,UP,3971.760000,,OFF,3700.591359,UP,OFF,False
2025-10-07,3996.390000,3798.394654,5.212653,UP,UP,3996.390000,,OFF,3700.591359,UP,OFF,False
2025-10-08,4055.350000,3798.394654,6.765129,UP,UP,4055.350000,,OFF,3700.591359,UP,OFF,False
2025-10-09,3993.190000,3798.394654,5.128762,UP,UP,4055.350000,,OFF,3700.591359,UP,OFF,False
2025-10-10,4021.850000,3798.394654,5.882812,UP,UP,4055.350000,,OFF,3700.591359,UP,OFF,False
2025-10-13,4121.650000,3798.394654,8.510193,UP,UP,4121.650000,,OFF,3700.591359,UP,OFF,False
2025-10-14,4153.920000,3798.394654,9.359716,UP,UP,4153.920000,,OFF,3700.591359,UP,OFF,False
2025-10-15,4232.040000,3798.394654,11.413735,UP,UP,4232.040000,,OFF,3700.591359,UP,OFF,False
2025-10-16,4362.290000,3798.394654,14.845588,UP,UP,4362.290000,,OFF,3700.591359,UP,OFF,False
2025-10-17,4262.510000,3798.394654,12.218389,UP,UP,4362.290000,,OFF,3700.591359,UP,OFF,False
2025-10-20,4367.430000,3798.394654,14.981726,UP,UP,4367.430000,,OFF,3700.591359,UP,OFF,False
2025-10-21,4130.330000,3798.394654,8.739248,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-22,4101.140000,3798.394654,7.970888,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-23,4120.200000,3798.394654,8.472669,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-24,4106.300000,3798.394654,8.106755,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-27,3973.340000,3798.394654,4.605181,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-28,3955.840000,3798.394654,4.144508,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-29,3936.370000,3798.394654,3.632451,NEUTRAL,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-30,4023.990000,3798.394654,5.940544,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-10-31,3996.230000,3798.394654,5.208439,UP,UP,4367.430000,,DOWN_ALERT,3700.591359,UP,DOWN_ALERT,False
2025-11-03,3998.010000,4092.479121,-2.308363,NEUTRAL,NEUTRAL,,,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-04,3926.010000,4092.479121,-4.067472,DOWN,DOWN,,3926.010000,OFF,4093.518600,DOWN,OFF,False
2025-11-05,3979.610000,4092.479121,-2.758955,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-06,3974.790000,4092.479121,-2.876742,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-07,3997.950000,4092.479121,-2.310570,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-10,4106.710000,4092.479121,0.347737,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-11,4126.808560,4092.479121,0.838956,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-12,4194.744900,4092.479121,2.498863,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-13,4171.546130,4092.479121,1.931855,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-14,4081.004250,4092.479121,-0.280407,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-16,4080.515750,4092.479121,-0.292343,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-17,4045.805930,4092.479121,-1.140577,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-18,4067.498070,4092.479121,-0.610412,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-19,4077.765280,4092.479121,-0.359538,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-20,4077.116630,4092.479121,-0.375389,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-21,4065.898540,4092.479121,-0.649499,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-23,4065.999580,4092.479121,-0.647030,NEUTRAL,DOWN,,3926.010000,OFF,4093.518600,NEUTRAL,OFF,False
2025-11-24,4134.133290,4092.479121,1.017721,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-25,4130.873440,4092.479121,0.938070,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-26,4163.815820,4092.479121,1.743298,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-27,4157.953630,4092.479121,1.600047,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-28,4216.328880,4092.479121,3.026585,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-11-30,4216.319350,4092.479121,3.026352,NEUTRAL,DOWN,,3926.010000,UP_ALERT,4093.518600,NEUTRAL,UP_ALERT,False
2025-12-01,4232.135550,4172.658626,1.425147,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-02,4206.075140,4172.658626,0.800789,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-03,4203.669280,4172.658626,0.743160,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-04,4208.123420,4172.658626,0.849904,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-05,4197.429240,4172.658626,0.593640,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-07,4197.363600,4172.658626,0.592067,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-08,4190.489250,4172.658626,0.427325,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-09,4207.903910,4172.658626,0.844690,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-10,4228.555980,4172.658626,1.339631,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-11,4279.817690,4172.658626,2.568174,NEUTRAL,NEUTRAL,,,OFF,4122.881586,NEUTRAL,OFF,False
2025-12-12,4301.775840,4172.658626,3.094353,NEUTRAL,NEUTRAL,,,OFF,4122.881586,UP,OFF,False
2025-12-14,4302.522900,4172.658626,3.112255,NEUTRAL,NEUTRAL,,,OFF,4122.881586,UP,OFF,False
2025-12-15,4305.249020,4172.658626,3.177589,NEUTRAL,NEUTRAL,,,OFF,4122.881586,UP,OFF,False
2025-12-16,4302.500170,4172.658626,3.111714,NEUTRAL,NEUTRAL,,,OFF,4122.881586,UP,OFF,False
2025-12-17,4338.132550,4172.658626,3.965566,NEUTRAL,NEUTRAL,,,OFF,4122.881586,UP,OFF,False
